id,prediction
9f978634-637c-472f-a588-6f4bb2fb121f,Contradiction
20b34e62-97c2-4ca0-bb1d-7824dab0b8bb,Entailment
893a5337-2aa9-4a87-a020-4c2f03cd4aea,Entailment
d401affc-f081-4eee-bd61-d109cc88f6de,Entailment
791790a6-187b-4e4b-be5f-9e5304e9ec2c,Contradiction
b95b7438-ec16-4d4d-826d-5891e7982b36,Entailment
4988cb16-7dbb-4847-84e0-4a7957b32c72,Contradiction
e244fc3a-53b3-4158-99c5-a45afc726af6,Contradiction
56530063-b408-47f2-8421-6be825f5559c,Entailment
d3379655-55b7-4e58-88c2-c3cd3e8cb557,Contradiction
44412911-1f34-4841-a795-86eed5a209d7,Entailment
505ccc8c-b07a-4902-b8c3-4d3b4891779a,Entailment
58614e8d-770e-4bfe-b74b-e2d429ef072f,Contradiction
d118efb5-ea31-49ca-8e20-686c85081e94,Contradiction
5a181517-dbdc-4598-8955-ca1bfa380fa9,Contradiction
4adbcbcc-ae43-46af-a072-815d1e788f29,Contradiction
10f7c7cf-b7e2-4d21-8870-1fdbcc7937f5,"[""Entailment""]"
bd5d8368-5c1d-41b8-9fb3-f174da18744f,Contradiction
d1a7cbaa-161a-4675-b8b7-67ae364be364,Contradiction
574106ef-1b9c-4540-a89f-5100a9bbe798,Contradiction
21c021d2-764d-4028-b945-2aeb525b9888,Contradiction
aefb2cc5-3101-416b-bae4-c9a1e7d8f39e,Entailment
320ec115-31c3-47bf-a819-93d514b91eb3,Entailment
f45b251f-2fec-44b7-8fc0-dd0d06a44d3b,Entailment
d54a3e9d-5602-4cc3-934e-717f1da39792,Entailment
ce8a4f39-efff-4fd3-b850-4fc5c30270ef,Entailment
9d94e597-591d-409e-a8e2-b205a83533a5,Contradiction
7e271bbd-26e8-422e-be5c-54d294da815a,Contradiction
6e4be816-3da7-4def-ab23-2a4fda805cd0,Contradiction
90cecb95-9f89-4747-81c3-96545edaf3f4,Entailment
137bb76f-a37e-4339-af7e-f0c647a01baa,Entailment
c41ed5cf-4629-4a4f-b564-197d705ec9cc,Contradiction
956a23c9-f76f-4492-9f00-acdbaf6ac083,Entailment
b87ab44e-6cbe-4567-98ff-bd820aa7edeb,Entailment
e2e8bb00-df98-49c2-a81b-e18ae21516aa,Contradiction
6b3619d3-21ea-437e-bb0f-f124cf636ca5,Contradiction
0c03c804-4144-4d84-b740-8f6040f15acc,Contradiction
c08aa0d8-5505-438c-b53a-934bd2ee570d,Entailment
0a1cb41e-a5f8-42ca-bec7-f9bc1291037c,Contradiction
ddf4fc68-7920-4212-ac8b-7453ebeb49fb,Entailment
09879638-e324-4f5d-a45e-f62f7e06f301,Contradiction
bc50160f-7490-4c30-b373-9474707b02b3,Contradiction
ee2fe2ab-dc6f-434e-b0dd-1deee5fb3d31,Entailment
7d818afc-93da-4098-a0f0-558bc0095687,Contradiction
e04edb9d-dc0e-44c4-abb9-3260b400e265,Contradiction
6af06b3f-dbbc-4679-a4a3-fe4b3757fdc0,Entailment
e63ac45b-c34b-4007-820a-30202893fc6f,Entailment
ff11f88f-a4cb-481e-bf56-afa5c0adda19,Contradiction
29bed237-ccbb-460b-a50b-fbdc9e52fdd1,Entailment
88951a9e-179e-4284-9f98-141eb3d76369,Contradiction
71698d59-3bbe-4e8f-85c8-bf2110727155,Entailment
970f06b2-0935-4cde-a070-ddd7adb8ed5e,Entailment
d0168033-35eb-4032-b6e5-f81d9d3a9f7a,Entailment
cf4c4c98-b8b0-4ab8-85a8-1269da4d9fd8,Entailment
3d100b36-5765-4953-b072-b06f38b6958c,Entailment
f0ca21dc-bf98-4c8b-b08e-d0821905846a,Entailment
b88356ec-038f-4f5c-bf14-750059dbba4f,Contradiction
56e9308b-f718-4831-8e56-4b18982e4a2c,Entailment
86ee12d2-2095-4ece-a7d6-f9494b51f3a6,Entailment
8ef6757e-e789-4a70-9cf3-e2e8050c9f15,Entailment
52d4cfdf-7677-4f4c-8020-4f5271393df9,Contradiction
a8932849-e870-422e-a81a-1b43d9622082,Entailment
06a1adac-dee0-4d9b-83c6-0996391e40d0,Entailment
c2d6b8ba-8238-49b7-b9a1-de2ffdabe324,Contradiction
496667f2-e493-4b4e-a257-7b8de3833e8b,Entailment
47512f16-9809-4150-a101-1fb7256c5bf3,Contradiction
d904b234-fed6-473e-bd40-8f37f4a4e440,Entailment
90c519e9-7981-4a72-af6a-cc032657458a,Contradiction
d9e7c0cc-0850-4a8e-b389-092dfdc623fc,Entailment
05fbffcf-c1a0-40f9-95dd-8e9010005773,"[""Contradiction""]"
7814620b-23de-463b-8fd1-efdf51ce26b3,Contradiction
ae548af6-b401-4dac-9824-50b2a566e7bd,Contradiction
a60074c0-d7a6-47cc-b980-ee1c0a791f66,Entailment
d9d506ef-20ed-44e2-9809-07cb0772535b,Entailment
1defe036-8290-4a01-bec7-f75305d1e88e,"[""Contradiction""]"
1fe68175-6ac4-4439-818f-94758e6bd306,Contradiction
fac10570-e1ed-4b0a-b847-55eb25265d25,Entailment
152fc619-bbb0-40ff-aa3e-5722f62f6a84,Contradiction
228308ea-2483-4311-a975-ca974ff797c6,Contradiction
eca5c391-f479-448d-bff8-313a7df673b4,Contradiction
17660aaf-9218-4119-b00c-f3b863718e97,Contradiction
291150cd-0d45-46c7-9a44-d781098bc3eb,Contradiction
403ad287-6e25-4db0-a66b-fe4a7f15a983,Contradiction
c389c3cc-2e76-4219-996d-3aa5a925fec7,Contradiction
6f0571f4-e1da-4732-9bdf-8c07bea059c1,Contradiction
c6ca9f93-1abb-4c01-bdfb-aa17c5028ec8,Contradiction
b16d4167-cb81-44c0-b20d-d1ecbf0bc094,Contradiction
36cbd8dd-9c77-496c-ab43-af1942c86339,Contradiction
50dae016-a6b4-4ee6-a66a-bf35587cd835,Entailment
c63468c0-324f-4528-b83f-a588ccf7b680,Contradiction
ef2af81d-e19c-49c9-8ff0-309b87eb6f38,Entailment
4714a31c-c7ca-49e2-aa71-6665b65ed04f,Contradiction
570b88e9-5036-4ea8-80db-0f48696700af,Contradiction
f7de4d97-31e4-48e0-ab1a-1e3d8a152e8b,Entailment
8d685159-80a2-4b2c-8ca3-066d03e1cf66,Contradiction
5e93b7d7-89d9-47cd-98b4-5897823889fa,Entailment
2e42ac97-e353-4bbc-b61e-391e0c092689,Entailment
0585f6bd-d582-4fc9-b96b-1355fa083e33,Contradiction
4f1bafd9-361f-4981-b6fd-46af736141b4,Entailment
c91a6c5a-27f1-4e7b-8f91-34e3d2236e8b,Contradiction
0bb34f7b-d21a-4057-876a-25c722e6d50e,Contradiction
3f15d923-bf66-4188-8714-c9ae4921de1f,Entailment
9562c377-c748-46d7-a5f2-eb492d20e477,Entailment
1e24905e-7bf9-4a79-8157-8948f108ecb7,Contradiction
57656a6d-8e1c-4cb8-b80d-605174d0577c,Contradiction
c5ece9f7-9119-4fa2-b60d-f2f15c68ae02,Contradiction
8f8be6b6-df75-4757-bc64-b2fbc8849f70,Entailment
520f44e8-b74b-44a6-a7cf-496275847af1,Entailment
0c902de2-30b5-4ab8-9739-70be987d043a,"[""Entailment""]"
8b98421d-1cec-41bd-b25e-2e73c362193a,Contradiction
62441471-f329-4540-9d4e-dc34c4d08d59,Contradiction
